	Season	HomeTeam	AwayTeam	Sentence	Allocation
1836	16/17	Chelsea	Swansea City	chelsea has imposing lead at top of premier league carlo ancelotti has former no2 carlo ancelotti 's former no2 has won his side carlo ancelotti 's former no2 has won four of six league games we avoid suffering we avoid suffering at end we avoid suffering at end of season we much do want avoid we how much do want avoid we do want avoid they are eager	Chelsea
1837	16/17	Chelsea	Swansea City	paul clement of assistants carlo ancelotti has former no2 carlo ancelotti 's former no2 has won his side carlo ancelotti 's former no2 has won four of six league games we avoid suffering we avoid suffering at end we avoid suffering at end of season we much do want avoid we how much do want avoid we do want avoid '' ' said clement they are eager	Swansea City
1838	16/17	Crystal Palace	Middlesbrough	sunderland has recent saunter in south london sunderland 's recent saunter is in south london middlesbrough arrive at selhurst park palace into insecurities	Crystal Palace
1839	16/17	Crystal Palace	Middlesbrough	sunderland has recent saunter in south london sunderland 's recent saunter is in south london middlesbrough arrive at selhurst park middlesbrough arrive hoping	Middlesbrough
1840	16/17	Everton	Sunderland	david moyes returns to goodison park 2-0 defeat is in april 2014	Everton
1841	16/17	Everton	Sunderland	david moyes returns for first time since 2-0 defeat in april 2014 david moyes returns for first time since 2-0 defeat david moyes returns to goodison park david moyes returns for first time david moyes returns for time since 2-0 defeat david moyes returns for time since 2-0 defeat in april 2014 2-0 defeat is in april 2014 david moyes returns for time since defeat david moyes returns for time david moyes returns for first time since defeat david moyes returns for first time since defeat in april 2014 david moyes returns for time since defeat in april 2014 sunderland need recover sunderland are anchored to bottom sunderland are anchored to bottom of table sunderland need recover from 4-0 home defeat by southampton sunderland need more than trip sunderland are anchored sunderland need more sunderland need recover from home defeat by southampton sunderland need recover from home defeat sunderland need more than trip to new york sunderland need recover from 4-0 home defeat	Sunderland
1842	16/17	Hull City	Burnley	might have relegation six-pointer has has imperious their form continues awful though with just one point earned their away form continues awful with just one point their form continues awful their form continues awful though their away form continues awful with just one point earned their away form continues awful their away form continues awful though their form continues awful with just one point earned on their travels their form continues awful with just one point their away form continues awful though with just one point their form continues awful though with just one point their away form continues awful with just one point earned on their travels their form continues awful though with just one point earned on their travels their away form continues awful though with just one point earned on their travels their form continues awful with just one point earned their away form continues awful though with just one point earned marco silva has resurgent side	Hull City
1843	16/17	Hull City	Burnley	burnley 's home form has has imperious might have relegation six-pointer has has imperious burnley has home form their form continues awful though with just one point earned their away form continues awful with just one point their form continues awful their form continues awful though their away form continues awful with just one point earned their away form continues awful their away form continues awful though their form continues awful with just one point earned on their travels their form continues awful with just one point their away form continues awful though with just one point their form continues awful though with just one point their away form continues awful with just one point earned on their travels their form continues awful though with just one point earned on their travels their away form continues awful though with just one point earned on their travels their form continues awful with just one point earned their away form continues awful though with just one point earned	Burnley
1844	16/17	Watford	West Ham United	10 points separating watford from teams in relegation zone of trouble 10 points separating watford from teams finish cost his job teams is in relegation zone of trouble 13th-placed finish cost his job at vicarage road points separating watford from teams 10 points separating watford from teams in relegation zone points separating watford points separating watford from teams in relegation zone 13th-placed finish cost his predecessor 13th-placed finish cost his job finish cost his job at vicarage road points separating watford from teams in relegation zone of trouble 10 points separating watford finish cost his predecessor he recover from groin injury	Watford
1845	16/17	Watford	West Ham United	finish cost his job teams is in relegation zone of trouble 13th-placed finish cost his predecessor 13th-placed finish cost his job finish cost his predecessor he recover from groin injury west ham has andy carroll west ham 's andy carroll looks set	West Ham United
1846	16/17	West Brom	Bournemouth	problem is abundantly clear problem is clear their past seven matches is in competitions west brom will will just nine points behind their record premier league total tony pulis will look capitalise successful west brom will will just nine points behind their record premier league total west brom will will just nine points successful west brom will will just nine points	West Brom
1847	16/17	West Brom	Bournemouth	bournemouth slipping towards danger problem is abundantly clear problem is clear eddie howe 's side are vulnerable in defence eddie howe has side their past seven matches is in competitions eddie howe 's side are too vulnerable eddie howe 's side are too vulnerable in defence eddie howe 's side are vulnerable	Bournemouth
1848	16/17	Tottenham Hotspur	Stoke City	tottenham move on from their europa league exit on thursday tottenham move on from their europa league exit at hands of gent on thursday tottenham move on from their embarrassing europa league exit at hands tottenham move on from their embarrassing europa league exit at hands of gent tottenham move on from their embarrassing europa league exit at hands on thursday tottenham move on from their europa league exit tottenham move on from their europa league exit at hands of gent tottenham will will keen tottenham move on from their embarrassing europa league exit tottenham move on from their embarrassing europa league exit on thursday tottenham move on from their europa league exit at hands on thursday tottenham move on from their embarrassing europa league exit at hands of gent on thursday tottenham move on from their europa league exit at hands familiar surroundings should should boost surroundings should should boost europe to elite competition it is hard wild card is in saido berahino	Tottenham Hotspur
1849	16/17	Tottenham Hotspur	Stoke City	familiar surroundings should should boost stoke troubling home side surroundings should should boost stoke troubling home side looking europe to elite competition it is hard mark hughes however does have card in saido berahino mark hughes does have card mark hughes however does have card mark hughes does have wild card mark hughes does have card in saido berahino mark hughes does have wild card in saido berahino mark hughes however does have wild card wild card is in saido berahino mark hughes however does have wild card in saido berahino	Stoke City
1850	16/17	Leicester City	Liverpool	it is little over year since swing it is little over year since swing of jamie vardy 's boot it is little since outrageous swing of jamie vardy 's right boot sent it is little since outrageous swing of jamie vardy 's right boot leicester possibly win premier league title it started to dawn it is little over year since outrageous swing of jamie vardy 's boot it is little over year since outrageous swing sent it is little over year since swing sent it is little over year since swing of jamie vardy 's boot sent it is little over year since outrageous swing it is little since swing it is little over year since swing of jamie vardy 's right boot it is little since swing of jamie vardy 's right boot it is little since swing of jamie vardy 's boot sent leicester just possibly actually win premier league title leicester just possibly win premier league title it is little since swing of jamie vardy 's right boot sent leicester possibly actually win premier league title it is little since outrageous swing of jamie vardy 's boot leicester win premier league title leicester actually win premier league title it is little over year since outrageous swing of jamie vardy 's boot sent it is little since swing of jamie vardy 's boot jamie vardy of right boot it is little it is little since swing sent it is little over year since swing of jamie vardy 's right boot sent it is little over year it is little since outrageous swing sent it is little since outrageous swing of jamie vardy 's boot sent it is little over year since outrageous swing of jamie vardy 's right boot it is little since outrageous swing it is little over year since outrageous swing of jamie vardy 's right boot sent claudio ranieri 's exit has given match claudio ranieri has exit	Leicester City
1851	16/17	Leicester City	Liverpool	it is little over year since swing it started to dawn it is little over year since outrageous swing sent it is little over year since swing sent it is little over year since outrageous swing it is little since swing ball sailing high over simon mignolet it is little it is little since swing sent it is little over year it is little since outrageous swing sent it is little since outrageous swing claudio ranieri 's exit has given match claudio ranieri has exit	Liverpool
1852	16/17	Leicester City	Hull City	challenge is after victory on monday night challenge is after barnstorming victory over liverpool on monday night challenge is after barnstorming victory over liverpool challenge is after victory challenge reproduce something similar challenge is after victory over liverpool challenge is after barnstorming victory on monday night challenge is after barnstorming victory challenge is after victory over liverpool on monday night challenge reproduce something they can complete double hull however beat leicester points is with champions hull beat leicester hull however beat leicester on opening day hull beat leicester on opening day	Leicester City
1853	16/17	Leicester City	Hull City	challenge is after victory on monday night challenge is after barnstorming victory over liverpool on monday night challenge is after barnstorming victory over liverpool challenge is after victory challenge reproduce something similar something similar against hull challenge is after victory over liverpool challenge is after barnstorming victory on monday night challenge is after barnstorming victory challenge is after victory over liverpool on monday night challenge reproduce something similar against hull challenge reproduce something hull move level they can complete double hull however beat leicester points is with champions hull move level on points with champions hull move level on points hull beat leicester hull however beat leicester on opening day hull beat leicester on opening day	Hull City
1854	16/17	Liverpool	Arsenal	liverpool securing league over frenchman for first time liverpool securing league double over frenchman for time since 2000 liverpool securing league liverpool securing league over frenchman for first time since 2000 liverpool securing league double over frenchman liverpool securing league double over frenchman for first time liverpool securing league double over frenchman for first time since 2000 liverpool securing league over frenchman liverpool securing league over frenchman for time since 2000 liverpool securing double league liverpool securing league over frenchman for time liverpool securing league double over frenchman for time liverpool regarding slide that may continue without jordan henderson jurgen klopp will will aware of pressure growing jurgen klopp will will aware jurgen klopp will will aware of pressure growing year jurgen klopp will will aware of pressure growing regarding liverpool 's slide jurgen klopp will will aware of pressure growing regarding liverpool 's slide year jurgen klopp will will aware of pressure klopp 's side win 61.5 % of matches klopp 's side is with england midfielder klopp 's side win 61.5 % klopp has side with england midfielder	Liverpool
1855	16/17	Liverpool	Arsenal		Arsenal
1856	16/17	Manchester United	Bournemouth	they have occupied since early november they have occupied since november manchester united has chance move finally from sixth place liverpool play arsenal least on saturday evening liverpool play arsenal on saturday evening liverpool play least arsenal liverpool play arsenal jose mourinho has side defeat bournemouth this be difficult united lost at chelsea united lost in october united last lost in league united last lost at chelsea united last lost will ask united last lost will ask for eddie howe united last lost will difficult ask for eddie howe united last lost in october united lost will difficult ask for eddie howe united lost will difficult ask united lost will ask united lost in league united last lost will difficult ask united lost will ask for eddie howe	Manchester United
1857	16/17	Manchester United	Bournemouth	they have occupied since early november they have occupied since november liverpool play arsenal least on saturday evening liverpool play arsenal on saturday evening liverpool play least arsenal liverpool play arsenal jose mourinho has side defeat bournemouth this be difficult united last lost will ask for eddie howe united last lost will difficult ask for eddie howe united lost will difficult ask for eddie howe united lost will ask for eddie howe	Bournemouth
1858	16/17	Stoke City	Middlesbrough	they 're in position fixture of manager is aitor karanka they 're in comfortable position his assessment is fair they 're comfortable we need three points last sunday has capitulation at tottenham nondescript set is in middle	Stoke City
1859	16/17	Stoke City	Middlesbrough	they 're in position fixture of manager is aitor karanka they 're in comfortable position his assessment is fair they 're comfortable we need three points last sunday has capitulation at tottenham nondescript set is in middle	Middlesbrough
1860	16/17	Swansea City	Burnley	paul clement has transformed swansea luciano narsingh is pushing for start for swansea luciano narsingh is pushing for start	Swansea City
1861	16/17	Swansea City	Burnley	luciano narsingh is pushing for start	Burnley
1862	16/17	Watford	Southampton	they win more matches walter mazzarri has called for change in attitude walter mazzarri saying his side need stop they win matches walter mazzarri has called for change walter mazzarri has called saying walter mazzarri has called for change in attitude from watford change is in attitude from watford season is with knee ligament damage zarate is for out season with knee ligament damage zarate is for season with knee ligament damage zarate is for out season zarate is for season	Watford
1863	16/17	Watford	Southampton	they win more matches they win matches season is with knee ligament damage zarate is for out season with knee ligament damage zarate is for season with knee ligament damage zarate is for out season zarate is for season saints will look bounce saints will look bounce back	Southampton
1864	16/17	West Brom	Crystal Palace	tony pulis is in still dispute tony pulis is in still dispute with west brom are ready west brom extend sam allardyce 's stay in relegation zone west brom extend sam allardyce 's stay tony pulis is in dispute with manager has undivided attention he will make sure tony pulis is in dispute	West Brom
1865	16/17	West Brom	Crystal Palace	sam allardyce has stay in relegation zone crystal palace will have manager 's undivided attention crystal palace will have manager 's attention sam allardyce 's stay is in relegation zone manager has undivided attention he will make sure	Crystal Palace
1866	16/17	Sunderland	Manchester City	sunderland beat city 1-0 four times in succession on wearside sunderland beat city 1-0 four times sunderland beat city 1-0 four times in succession fabio borini is remotely deterred fabio borini is deterred	Sunderland
1867	16/17	Sunderland	Manchester City	sunderland beat city 1-0 four times in succession on wearside sunderland beat city 1-0 four times sunderland beat city 1-0 four times in succession city 1-0 four times is in succession on wearside	Manchester City
1868	16/17	Tottenham Hotspur	Everton	strikers are leading race for premier league 's golden boot season strikers are leading race together with arsenal 's alexis sanchez strikers race at_time season strikers are leading race harry kane feels like juiciest sub-plot strikers race for premier league 's golden boot harry kane feels like sub-plot arsenal together with alexis sanchez premier league for golden boot strikers are leading race season strikers are leading race for premier league 's golden boot picture is meeting between tottenham side bigger picture is meeting bigger picture is meeting between tottenham side picture is meeting tottenham have won eight straight in league nobody has better record nobody has record in 2017 tottenham have won eight in league nobody has record something has give	Tottenham Hotspur
1869	16/17	Tottenham Hotspur	Everton	strikers are leading race for premier league 's golden boot season strikers are leading race together with arsenal 's alexis sanchez strikers race at_time season strikers are leading race romelu lukaku feels like sub-plot strikers race for premier league 's golden boot romelu lukaku feels like juiciest sub-plot arsenal together with alexis sanchez premier league for golden boot strikers are leading race season strikers are leading race for premier league 's golden boot division 's form side is in everton bigger picture is meeting division has form side in everton picture is meeting nobody has better record nobody has record than everton nobody has record in 2017 nobody record than everton nobody better record than everton nobody has better record than everton nobody has record something has give	Everton
1870	16/17	West Ham United	Chelsea	london stadium is in october efl cup tie on fiery night tight efl cup tie at london stadium efl cup tie at london stadium west ham have beaten chelsea at_time once season tight efl cup tie on night tight efl cup tie at london stadium in october efl cup tie on night efl cup tie at london stadium in october tight efl cup tie on fiery night west ham have beaten chelsea west ham have beaten chelsea at_time season it was surprise crowd trouble marred win crowd trouble marred fine win for slaven bilic 's side crowd trouble marred win for slaven bilic 's side slaven bilic for side it see match crowd trouble marred fine win match moved to late kick-off match moved to kick-off west ham will will desperate focus remain on pitch	West Ham United
1871	16/17	West Ham United	Chelsea	london stadium is in october efl cup tie on fiery night tight efl cup tie at london stadium efl cup tie at london stadium tight efl cup tie on night tight efl cup tie at london stadium in october efl cup tie on night efl cup tie at london stadium in october tight efl cup tie on fiery night it was surprise crowd trouble marred win it see match crowd trouble marred fine win match moved to late kick-off match moved to kick-off focus remain on pitch chelsea are again likely chelsea are likely chelsea be for revenge chelsea be for out revenge chelsea are then again likely	Chelsea
1872	16/17	Bournemouth	West Ham United	form-wise bournemouth are in trouble bournemouth are in trouble winless is in their past nine matches eddie howe has side bournemouth has shaky defence slaven bilic terrorising bournemouth 's shaky defence slaven bilic terrorising bournemouth 's defence	Bournemouth
1873	16/17	Bournemouth	West Ham United	winless is in their past nine matches west ham will equally will buoyed michail antonio by return west ham will will buoyed west ham will will buoyed by michail antonio 's return west ham will equally will buoyed by michail antonio 's return slaven bilic can count on antonio carroll slaven bilic terrorising bournemouth 's shaky defence slaven bilic terrorising bournemouth 's defence	West Ham United
1874	16/17	Everton	West Brom	everton has nine-match unbeaten run everton win on saturday club is in premier league	Everton
1875	16/17	Everton	West Brom	west brom are chasing record points west brom are chasing too record points total for club in premier league west brom are chasing too record points total west brom are chasing record points total for club in premier league west brom are chasing too record points total for club west brom are chasing record points total for club west brom are chasing too record points club is in premier league west brom are chasing record points total tony pulis has miserly defence need at best	West Brom
1876	16/17	Hull City	Swansea City		Hull City
1877	16/17	Hull City	Swansea City	their former spain fernando llorente is in his best form of season swansea were relieved llorente is aerial swansea were relieved win week their former spain fernando llorente is threat swansea were relieved win their former spain fernando llorente is aerial threat swansea win at_time last week swansea were relieved win last week swansea win at_time week	Swansea City
1878	16/17	Liverpool	Burnley	liverpool so beat arsenal liverpool beat arsenal their result was october 's draw their best result was october 's draw their result was october 's goalless draw their best result was october 's goalless draw at old trafford low was losing at watford their best result was october 's goalless draw october has goalless draw at old trafford their result was october 's draw at old trafford their result was october 's goalless draw at old trafford their best result was october 's draw at old trafford	Liverpool
1879	16/17	Liverpool	Burnley	sean dyche has side their result was october 's draw their best result was october 's draw their result was october 's goalless draw their best result was october 's goalless draw at old trafford low was losing at watford their best result was october 's goalless draw october has goalless draw at old trafford their result was october 's draw at old trafford their result was october 's goalless draw at old trafford their best result was october 's draw at old trafford	Burnley
1880	16/17	Bournemouth	Swansea City	bournemouth being drawn into relegation scrap bournemouth are in danger drawn into relegation scrap bournemouth are in danger drawn bournemouth being drawn their first league win at_time weekend their first league win following streak their league win following eight-game streak their league win at_time weekend their league win of 2017 their league win following eight-game barren streak josh king has hat-trick in chaotic encounter with west ham their first league win of 2017 chaotic encounter is with west ham josh king 's hat-trick is in chaotic encounter with west ham their league win following barren streak their first league win following barren streak their first league win following eight-game streak their first league win following eight-game barren streak eddie howe has side their league win at_time last weekend their first league win at_time last weekend josh king 's hat-trick gave eddie howe 's side their league win following streak	Bournemouth
1881	16/17	Bournemouth	Swansea City	their first league win at_time weekend their first league win following streak their league win following eight-game streak their league win at_time weekend their league win of 2017 their league win following eight-game barren streak josh king has hat-trick in chaotic encounter with west ham their first league win of 2017 chaotic encounter is with west ham josh king 's hat-trick is in chaotic encounter with west ham their league win following barren streak their first league win following barren streak their first league win following eight-game streak their first league win following eight-game barren streak their league win at_time last weekend their first league win at_time last weekend their league win following streak swansea have lost their past three swansea travel without full-backs kyle naughton swansea winning at anfield swansea have lost matches their past three swansea have lost away matches their past three swansea travel without key full-backs kyle naughton	Swansea City
1882	16/17	Crystal Palace	Watford	it is five years to day sam allardyce has side it is five years clean sheets have given them sheets have given them successive wins have given them wins have given them	Crystal Palace
1883	16/17	Crystal Palace	Watford	it is five years to day it is five years clean sheets have given them sheets have given them successive wins have given them wins have given them	Watford
1884	16/17	Everton	Hull City	ronald koeman has side above manchester united romelu lukaku 's contract stand-off everton will will still confident romelu lukaku 's contract stand-off everton earning win romelu lukaku has contract stand-off everton romelu lukaku 's contract stand-off everton will will confident	Everton
1885	16/17	Everton	Hull City	hull overcame merseyside opponents with 2-0 win over liverpool in february hull overcame merseyside opponents with 2-0 win over liverpool hull overcame merseyside opponents with 2-0 win in february marco silva has side hull overcame merseyside opponents with 2-0 win hull overcame merseyside opponents	Hull City
1886	16/17	Stoke City	Chelsea	new year on eve stoke side unbeaten is in their past eight home games	Stoke City
1887	16/17	Stoke City	Chelsea	conte be will wary of challenge conte be will wary conte be will wary of challenge on saturday having pushed hard conte be will wary of challenge on saturday conte be will wary of challenge having pushed conte be will wary of challenge having pushed hard conte be will wary of challenge on saturday having pushed	Chelsea
1888	16/17	Sunderland	Burnley	jermain defoe celebrates his deserved england recall jermain defoe celebrates his england recall jermain defoe celebrates his richly deserved england recall moyes has plan jan kirchhoff play	Sunderland
1889	16/17	Sunderland	Burnley	burnley sense opportunity at home burnley register first away win burnley sense at home of their bottom-placed hosts burnley sense at home burnley register away win burnley sense opportunity burnley are though anxious burnley sense at home of their hosts burnley sense opportunity at home of their bottom-placed hosts burnley sense opportunity at home of their hosts burnley register win burnley are anxious	Burnley
1890	16/17	West Brom	Arsenal	arsene wenger improve on his head-to-head record of one win in seven away games against tony pulis arsene wenger improve on his head-to-head record of one win in seven games against tony pulis frenchman has side frenchman 's side arrive after run frenchman 's side arrive after run of three frenchman 's side arrive after bruising run frenchman 's side arrive after bruising run of three	West Brom
1891	16/17	West Brom	Arsenal	arsene wenger improve on his head-to-head record arsene wenger improve on his head-to-head record of one win in seven games arsene wenger improve on his head-to-head record of one win in seven away games arsene wenger improve on his head-to-head record of one win in seven away games against tony pulis arsene wenger improve on his head-to-head record of one win in seven games against tony pulis arsene wenger improve on his head-to-head record of one win frenchman has side frenchman 's side arrive after run frenchman 's side arrive after run of three frenchman 's side arrive after bruising run frenchman 's side arrive after bruising run of three	Arsenal
1892	16/17	West Ham United	Leicester City	they remain in relegation fight they remain above three points they remain reaching champions league quarter-finals thanks to tuesday 's win over sevilla champions league quarter-finals thanks to tuesday 's win fourth win be on cards straight win be on cards fourth straight win be on cards craig shakespeare extending west ham united 's recent form craig shakespeare extending west ham united 's indifferent recent form west ham united has indifferent recent form craig shakespeare extending west ham united 's indifferent form win be on cards craig shakespeare extending west ham united 's form	West Ham United
1893	16/17	West Ham United	Leicester City	they remain in relegation fight they remain above three points they remain reaching champions league quarter-finals thanks to tuesday 's win over sevilla champions league quarter-finals thanks to tuesday 's win fourth win be on cards straight win be on cards craig shakespeare will will confident fourth straight win be on cards craig shakespeare extending his start craig shakespeare extending his winning start win be on cards	Leicester City
1894	16/17	Manchester City	Liverpool	manchester city have lost 3-0 manchester city have lost 4-1 match is in hand four points is with match in hand pep guardiola has side	Manchester City
1895	16/17	Manchester City	Liverpool	match is in hand four points is with match in hand	Liverpool
1896	16/17	Middlesbrough	Manchester United	he can only hope to end he can hope to end	Middlesbrough
1897	16/17	Middlesbrough	Manchester United	united are fatigued united are fatigued in wake he can only hope to end united are fatigued in wake of their thursday night europa league exertions he can hope to end	Manchester United
1898	16/17	Tottenham Hotspur	Southampton	he was unavailable run be would enough similar run be would enough similar run be would now enough run keep them similar run keep them run be would now enough manolo gabbiadini has six goals manolo gabbiadini has six goals in four matches six goals is in four matches	Tottenham Hotspur
1899	16/17	Tottenham Hotspur	Southampton	he was unavailable run be would enough similar run be would enough similar run be would now enough run keep them similar run keep them run be would now enough southampton 's gun is fit manolo gabbiadini has six goals southampton 's top gun is fit manolo gabbiadini has six goals in four matches six goals is in four matches southampton has top gun	Southampton
1900	16/17	Burnley	Tottenham Hotspur	relegation looks unlikely fixture list is after this relegation looks very unlikely it steal march it is chance for visitors it steal further march it is chance	Burnley
1901	16/17	Burnley	Tottenham Hotspur	relegation looks unlikely fixture list is after this relegation looks very unlikely it steal march it is chance for visitors it steal further march it is chance	Tottenham Hotspur
1902	16/17	Arsenal	Manchester City	fa cup is won fa cup is even won two league games ended in december two league games ended in victory city are seven points ahead of arsenal they enter tie as favourites they enter tie	Arsenal
1903	16/17	Arsenal	Manchester City	fa cup is won fa cup is even won manchester city 's owners be unhappy manchester city 's owners be unhappy won manchester city has owners manchester city 's owners be unhappy even won manchester city 's owners be unhappy with season two league games ended in december two league games ended in victory city two league games ended in victory city are seven points ahead of arsenal they enter tie as favourites they enter tie city are seven points city are seven points ahead	Manchester City
1904	16/17	Bournemouth	Chelsea	bournemouth are unbeaten in five matches their manager eddie howe bournemouth are unbeaten they will need confidence they are they will need confidence tottenham cut gap at top tottenham cut gap	Bournemouth
1905	16/17	Bournemouth	Chelsea	they overcome chelsea they will need confidence they are they will need confidence antonio conte has side tottenham cut gap at top tottenham cut gap	Chelsea
1906	16/17	Manchester City	Hull City	manchester city 's defeat forced concede manchester city has defeat at chelsea manchester city 's defeat forced pep guardiola	Manchester City
1907	16/17	Manchester City	Hull City	hull moved with win over middlesbrough hull moved with win making hull moved for first time since october hull moved with win hull moved for time hull moved with win over middlesbrough making hull moved out of bottom three hull moved for first time hull moved for time since october	Hull City
1908	16/17	Middlesbrough	Burnley	they conceded four middlesbrough managed bad thing seems certain one thing seems certain thing seems though certain home side beat burnleyteam one thing seems though certain	Middlesbrough
1909	16/17	Middlesbrough	Burnley	they conceded four thing seems certain one thing seems certain thing seems though certain home side beat burnleyteam one thing seems though certain	Burnley
1910	16/17	Stoke City	Liverpool	stoke falling into their ways of earlier stoke are in danger falling back into their bad ways of earlier in season stoke are in danger falling into their old ways of earlier it took them stoke are in danger falling into their bad ways of earlier stoke falling back into their bad old ways of earlier stoke falling into their bad ways of earlier in season stoke are in danger falling back into their ways of earlier stoke are in danger falling into their ways of earlier in season stoke falling back into their old ways of earlier in season stoke are in danger falling into their old ways of earlier in season stoke are in danger falling into their ways of earlier stoke are in danger falling into their bad old ways of earlier stoke are in danger falling back into their bad old ways of earlier in season stoke falling into their old ways of earlier stoke falling back into their bad ways of earlier in season stoke are in danger falling back into their old ways of earlier in season stoke falling into their bad ways of earlier stoke falling into their old ways of earlier in season stoke falling into their ways of earlier in season stoke falling back into their old ways of earlier stoke are in danger falling back stoke are in danger falling back into their bad ways of earlier stoke are in danger falling back into their old ways of earlier stoke are in danger falling into their bad ways of earlier in season stoke falling back into their ways of earlier stoke falling back into their bad ways of earlier stoke are in danger falling back into their bad old ways of earlier stoke falling back into their bad old ways of earlier in season stoke falling back into their ways of earlier in season it took eight games record stoke are in danger falling back into their ways of earlier in season stoke falling into their bad old ways of earlier in season stoke falling into their bad old ways of earlier stoke are in danger falling into their bad old ways of earlier in season stoke are in danger falling they have lost their last three mark hughes has at has pains suggest such thoughts set more their sights such thoughts set once more their sights relegation is faintest such thoughts set their sights	Stoke City
1911	16/17	Stoke City	Liverpool	it took them it took eight games record they have lost their last three such thoughts set more their sights such thoughts set once more their sights relegation is faintest such thoughts set their sights	Liverpool
1912	16/17	Tottenham Hotspur	Watford	mauricio pochettino at press conference mind games talk on friday mind games talk at mauricio pochettino 's press conference it was more chelsea had more of bonus for tottenham chelsea had more of bonus chelsea had win chelsea had more it was more of bonus for tottenham antonio conte of suggestion it was more of bonus pochettino was interested against watford team in midst of injury crisis pochettino was interested in his side against watford team in midst pochettino was interested only in his side against watford team in midst pochettino was interested in only his side pochettino was interested in his side against watford team pochettino was interested in his side pochettino was interested only in his side against watford team in midst of injury crisis pochettino was interested against watford team pochettino was interested against watford team in midst pochettino was interested in his side against watford team in midst of injury crisis pochettino was interested pochettino was interested only in his side against watford team	Tottenham Hotspur
1913	16/17	Tottenham Hotspur	Watford	mind games talk on friday it was more chelsea had more of bonus chelsea had win chelsea had more antonio conte of suggestion it was more of bonus pochettino was interested against watford team in midst of injury crisis pochettino was interested in his side against watford team in midst pochettino was interested only in his side against watford team in midst pochettino was interested in his side against watford team pochettino was interested only in his side against watford team in midst of injury crisis pochettino was interested against watford team pochettino was interested against watford team in midst pochettino was interested in his side against watford team in midst of injury crisis watford team is in midst of injury crisis pochettino was interested only in his side against watford team	Watford
1914	16/17	West Brom	Southampton	they give tony pulis albion match finish albion are keen they give his first top-10 finish albion match finish of 2013 they give his first finish albion match eighth-place finish they give his top-10 finish their europa league hopes are fast fading albion are keen their best their europa league hopes are fading they give his finish albion match eighth-place finish of 2013 visitors place behind them they are top-10	West Brom
1915	16/17	West Brom	Southampton	albion match finish albion are keen they give his first top-10 finish albion match finish of 2013 they give his first finish albion match eighth-place finish they give his top-10 finish their europa league hopes are fast fading albion are keen their best their europa league hopes are fading they give his finish albion match eighth-place finish of 2013 visitors place behind them they are top-10 southampton are fantastic	Southampton
1916	16/17	West Ham United	Swansea City	west ham lose fear of relegation west ham lose will will only two points behind them club months moving club dispense with services club months moving to london stadium west ham lose at home club few months moving to london stadium club dispense with services of slaven bilic west ham lose on saturday swansea west ham lose will will only two points club few months moving	West Ham United
1917	16/17	West Ham United	Swansea City	club months moving club dispense with services club months moving to london stadium club few months moving to london stadium club few months moving swansea seem have come swansea come to end of their revival swansea come to end swansea seem have come to end of their revival under paul clement swansea seem have come to end of their revival swansea seem have come to end swansea come to end of their revival under paul clement	Swansea City
1918	16/17	Everton	Leicester City	champions league quarter-final looms for champions champions league quarter-final poses dilemma champions league poses dilemma his flawless start is in job champions league looms for champions seventh successive victory is in competitions matthew pennington will replace ashley williams at centre-back with ronald koeman matthew pennington will replace suspended ashley williams we win our next two home games centre-back is with ronald koeman matthew pennington will replace ashley williams we can challenge for fifth matthew pennington will replace ashley williams at centre-back we win our two home games	Everton
1919	16/17	Everton	Leicester City	champions league poses dilemma for craig shakespeare champions league quarter-final looms for champions champions league quarter-final poses dilemma for craig shakespeare champions league quarter-final poses dilemma champions league poses dilemma his flawless start is in job champions league looms for champions leicester has prospects of seventh successive victory in competitions since departure of claudio ranieri seventh successive victory is in competitions we win our next two home games we can challenge for fifth we win our two home games	Leicester City
1920	16/17	Sunderland	Manchester United	sunderland has expensive february bonding trip bottom placed sunderland 's february bonding trip bottom placed sunderland 's expensive february bonding trip europa league has ideas week has controversy behind him david moyes put week 's controversy europa league presumably has different ideas david moyes put week 's controversy behind him europa league presumably has ideas europa league has different ideas europa league presumably has very different ideas europa league has very different ideas notes being rude	Sunderland
1921	16/17	Sunderland	Manchester United	europa league has ideas week has controversy behind him europa league presumably has different ideas europa league presumably has ideas europa league has different ideas europa league presumably has very different ideas europa league has very different ideas notes being rude	Manchester United
1922	16/17	Crystal Palace	Arsenal	gerry francis drifts over corner welshman has volley terry venables ' side withstand majority terry venables ' side withstand pressure terry venables ' side withstand majority of crowd of 42,699 departs elated terry venables ' side withstand second-half pressure terry venables ' side withstand majority of crowd of 42,699 departs terry venables ' side withstand majority of crowd it is 10 november 1979 have achieved it is 10 november 1979	Crystal Palace
1923	16/17	Crystal Palace	Arsenal	gerry francis drifts over corner welshman has volley terry venables ' side withstand majority terry venables ' side withstand pressure terry venables ' side withstand majority of crowd of 42,699 departs elated terry venables ' side withstand second-half pressure terry venables ' side withstand majority of crowd of 42,699 departs terry venables ' side withstand majority of crowd it is 10 november 1979 have achieved it is 10 november 1979	Arsenal
