	Season	HomeTeam	AwayTeam	Sentence	Allocation
2354	17/18	Crystal Palace	Manchester City	it is hard the runaway leaders have won six in all competitions the runaway leaders have won six the runaway leaders will confront a depleted crystal palace side sure to rest players before tuesday ' s trip to southampton the runaway leaders will confront a depleted crystal palace side the runaway leaders will confront a depleted crystal palace side with roy hodgson that fixture been moved quite why back that fixture been moved back that fixture been moved why that fixture been moved quite a day remains a mystery a day prompt another round becoming the premier league is becoming increasingly uncompetitive	Crystal Palace
2355	17/18	Crystal Palace	Manchester City	it is hard the runaway leaders have won six in all competitions the runaway leaders have won six that fixture been moved quite why back that fixture been moved back that fixture been moved why that fixture been moved quite a day remains a mystery a day prompt another round becoming the premier league is becoming increasingly uncompetitive	Manchester City
2356	17/18	West Brom	Arsenal	west brom know beat fire as many balls into the box as often set pieces fire as many balls into the box as often set throw-ins fire as many balls into the box as often set goal kicks they are breached when	West Brom
2357	17/18	West Brom	Arsenal	fire as many balls into the box as often set pieces fire as many balls into the box as often set throw-ins fire as many balls into the box as often set goal kicks wenger ' s lamentable defence has no answer wenger ' s lamentable defence concede goals they are breached when wenger has alexis sanchez bail wenger has mesut ozil bail	Arsenal
2358	17/18	Chelsea	Leicester City	it looks n ' golo kante be getting a third successive premier league winner ' s medal the frenchman remains vital the frenchman missed very much who will look who exploit a chelsea defence	Chelsea
2359	17/18	Chelsea	Leicester City	it looks n ' golo kante be getting a third successive premier league winner ' s medal the frenchman remains vital the frenchman missed very much by their predecessors , leicester the frenchman missed by their predecessors , leicester the frenchman missed very much claude puel has revitalised the foxes who will look	Leicester City
2360	17/18	Crystal Palace	Burnley	roy hodgson be wondering done he has done what he deserve such rotten luck the former england manager confronted despite transforming crystal place ' s fortunes since his arrival in september now with a mounting injury list that has left his squad looking extremely threadbare the former england manager confronted despite transforming crystal place ' s fortunes since his arrival in september the former england manager confronted with a mounting injury list that has left his squad looking extremely threadbare the former england manager confronted now that has left his squad looking andros townsend are the latest jeffrey schlupp are the latest his side return beaten chelsea already his side return beaten chelsea his side return drawn with tottenham in this campaign his side return drawn in this campaign his side return drawn with tottenham	Crystal Palace
2361	17/18	Crystal Palace	Burnley	he has done what he deserve such rotten luck the former england manager confronted with a mounting injury list that has left his squad looking extremely threadbare the former england manager confronted now that has left his squad looking counterpart sean dyche must make do without top scorer chris wood counterpart sean dyche must make do his side return beaten chelsea already his side return beaten chelsea his side return drawn with tottenham in this campaign his side return drawn in this campaign his side return drawn with tottenham	Burnley
2362	17/18	Newcastle United	Swansea City	rafael benitez is in the dark about his january transfer budget rafael benitez is still rafael benitez is still in the dark about his january transfer budget rafael benitez sound tremendously optimistic both managers do desperately both managers do with winning both managers do desperately with winning key sub- include shelvey ' s performance he left amid talk of dressing room disruption in south wales	Newcastle United
2363	17/18	Newcastle United	Swansea City	both managers do desperately both managers do with winning both managers do desperately with winning he left amid talk of dressing room disruption in south wales	Swansea City
2364	17/18	Tottenham Hotspur	Everton	he needed needed expected he needed needed he needed expected what was expected of him he says been his team been good enough the manager hopes help the PS27m signing can help the striker tottenham are by contrast tottenham are by contrast in form and scoring goals tottenham are in form and scoring goals	Tottenham Hotspur
2365	17/18	Tottenham Hotspur	Everton	sam allardyce has done needed sam allardyce has done expected sam allardyce has done needed expected he needed needed expected he needed needed he needed expected what was expected since taking charge at everton what was expected of him since taking charge at everton what was expected of him he says been his team been good enough the manager hopes help the PS27m signing can help the striker	Everton
2366	17/18	Watford	Southampton	points sees sit bottom watford are point who spoke before taking the watford job in may who spoke to the saints before taking the watford job in may marco silva has a little more credit another defeat could see gone him gone by the time the sides meet again in the fa cup in two weeks ' time the sides meet again the sides meet again in the fa cup in two weeks ' time the sides meet in two weeks ' time the sides meet in the fa cup	Watford
2367	17/18	Watford	Southampton	points sees sit bottom southampton sit who spoke to the saints who spoke to the saints before taking the watford job in may marco silva has a little more credit another defeat could see gone him gone by the time the sides meet again in the fa cup in two weeks ' time the sides meet again the sides meet again in the fa cup in two weeks ' time the sides meet in two weeks ' time the sides meet in the fa cup	Southampton
2368	17/18	West Brom	Brighton	west brom ended their marathon run without a win in all competitions west brom ended their marathon run west brom ended their marathon run finally that was against league two alan pardew has an ideal chance	West Brom
2369	17/18	West Brom	Brighton	that was against league two alan pardew has an ideal chance hughton ' s side have scored goals hughton want stifle	Brighton
2370	17/18	Bournemouth	Arsenal	who be peering from the stands who be peering again from the stands who be peering again that continue easily eddie howe can count on making chances with ease against wenger ' s notional defence that be enough the burden be able the dream may prove too much he does play even	Bournemouth
2371	17/18	Bournemouth	Arsenal	who be peering from the stands who be peering again from the stands who be peering again arsene wenger would love a victory how arsene wenger would love a victory after the nightmare in nottingham arsene wenger would love a victory arsenal are winless that continue easily eddie howe can count on making chances with ease against wenger ' s notional defence that be enough the burden be able the dream may prove too much he does play even	Arsenal
2372	17/18	Liverpool	Manchester City	jurgen klopp starts life with a request that anfield forgets the departed brazilian and concentrates on avenging september ' s 5-0 defeat at the etihad stadium instead jurgen klopp starts life without philippe coutinho jurgen klopp starts life anfield forgets the departed brazilian he says a key date we suffered the liverpool manager said used the liverpool manager said suffered the liverpool manager said used suffered we should try draw side have the form side lost themselves in 13 league games side lost themselves city won at anfield city won at anfield since may 2003 the premier league expects a treat	Liverpool
2373	17/18	Liverpool	Manchester City	he says a key date city used the momentum we suffered we should try draw side have the form side lost themselves in 13 league games side lost themselves city won at anfield city won since may 2003 city won at anfield since may 2003 the premier league expects a treat	Manchester City
2374	17/18	Manchester United	Stoke City	jose mourinho , fresh was before stoke city ' s visit jose mourinho , fresh was in relaxed form jose mourinho , fresh was in relaxed form before stoke city ' s visit his team be a gaping 18 points guardiola ' s side defeat liverpool the rest could start feel city continue start	Manchester United
2375	17/18	Manchester United	Stoke City	jose mourinho , fresh was before stoke city ' s visit jose mourinho , fresh was in relaxed form before stoke city ' s visit his team be a gaping 18 points guardiola ' s side defeat liverpool the rest could start feel city continue start	Stoke City
2376	17/18	Arsenal	Crystal Palace	arsene wenger has described the current january window as the most disturbing and destabilising arsene wenger has described the current january window he has known the noises remain loud arsenal must block them what was most disturbing arsenal must find the answers	Arsenal
2377	17/18	Arsenal	Crystal Palace	he has known the noises remain loud arsenal must block them against roy hodgson ' s resurgent crystal palace what was most disturbing palace will look be	Crystal Palace
2378	17/18	Burnley	Manchester United	the alexis sanchez saga continues they travel to turf moor they hoping continue the reverse fixture saw take dyche ' s side take a two goal lead burnley won since early december burnley won at home burnley won at home since early december the england international be leaned on quite as heavily the england international be leaned quite as heavily the england international be leaned on	Burnley
2379	17/18	Burnley	Manchester United	the alexis sanchez saga continues manchester united must put that to one side they hoping continue manchester united run in the league the reverse fixture saw take jesse lingard salvaged a point lingard ' s heroics have become a recurring theme the england international be leaned on quite as heavily the england international be leaned quite as heavily the england international be leaned on	Manchester United
2380	17/18	Everton	West Brom	everton boosted by their january recruits everton will see this match everton will see this match as an opportunity to turn a poor run of form around theo walcott will add some much needed pace theo walcott will oppose his former team-mate kieran gibbs a win could move pardew ' s side lose southampton lose to tottenham southampton lose at st mary ' s southampton lose to tottenham at st mary ' s	Everton
2381	17/18	Everton	West Brom	theo walcott will add some much needed pace theo walcott will oppose his former team-mate kieran gibbs west brom picked crucial points west brom must go into this game west brom must go with the same positive approach west brom must go into this game with the same positive approach a win could move pardew ' s side lose southampton lose to tottenham southampton lose at st mary ' s southampton lose to tottenham at st mary ' s	West Brom
2382	17/18	Leicester City	Watford	claude puel says be it be the beginning leicester start thinking their supporters be forgiven for wondering if that is a possibility that is a possibility the team can maintain the sort especially the team can maintain the sort they showed against chelsea silva ' s side been in freefall silva ' s side been with their only victory in their past 10 premier league games coming against leicester on boxing day silva ' s side been in freefall with their only victory in their past 10 premier league games coming against leicester on boxing day	Leicester City
2383	17/18	Leicester City	Watford	it be the beginning their supporters be forgiven for wondering if that is a possibility that is a possibility the team can maintain the sort especially the team can maintain the sort they showed against chelsea watford be obliging opponents on the face of it watford be obliging opponents silva ' s side been in freefall	Watford
2384	17/18	Manchester City	Newcastle United	a sole raheem sterling strike won the reverse fixture manchester united are for a 3pm start a win manchester united are at burnley for a 3pm start a win manchester united are at burnley the leaders are how relentless	Manchester City
2385	17/18	Manchester City	Newcastle United	the leaders are how relentless	Newcastle United
2386	17/18	West Ham United	Bournemouth	both sides remain in a relegation battle the winner be at the end of the weekend the winner be in ninth place at the end of the weekend the winner be in ninth place such are the fine margins such crammed lower reaches west ham are on an upward trajectory west ham are after thrashing huddersfield town west ham are on an upward trajectory after thrashing huddersfield town west ham be confident the visitors are only a point it be a nervy afternoon	West Ham United
2387	17/18	West Ham United	Bournemouth	both sides remain in a relegation battle the winner be at the end of the weekend the winner be in ninth place at the end of the weekend the winner be in ninth place such are the fine margins such crammed lower reaches the visitors are only a point it be a nervy afternoon	Bournemouth
2388	17/18	Southampton	Tottenham Hotspur	southampton ' s winless league run stretches to 10 games - including a 5-2 boxing day thrashing by spurs ' s came in may 2016 ' s was their last league win focus is now on the bottom six focus is now focus is on the bottom six southampton play the other five teams is anything be play	Southampton
2389	17/18	Southampton	Tottenham Hotspur	tottenham are unbeaten southampton ' s winless league run stretches to 10 games - including a 5-2 boxing day thrashing by spurs ' s win spurs only ' s win spurs since returning to the premier league ' s win spurs ' s came in may 2016 ' s was their last league win focus is now on the bottom six focus is now focus is on the bottom six anything be play	Tottenham Hotspur
2390	17/18	Swansea City	Liverpool	"carlos carvalhal strayed into "" david and goliath "" territory he was talking when he was talking about this fixture , which provides a measure of what he feels swansea he was talking when about this fixture , which provides a measure of what he feels swansea which provides a measure he feels what carlos carvalhal are up against carvalhal was appointed their 4-3 victory provided more evidence mohamed salah face swansea mohamed salah face virgil van dijk renato sanches is back in contention renato sanches is for swansea renato sanches is back in contention for swansea"	Swansea City
2391	17/18	Swansea City	Liverpool	he was talking when which provides a measure he feels what liverpool put five past them on boxing day liverpool put five on boxing day liverpool put five past them their 4-3 victory provided more evidence mohamed salah has recovered from illness in time mohamed salah has recovered in time mohamed salah has recovered from illness mohamed salah face swansea mohamed salah face virgil van dijk mohamed salah is available renato sanches is back in contention	Liverpool
2392	17/18	Arsenal	Everton	it be strange plenty has changed after a frenetic january plenty has changed for arsenal plenty has changed for arsenal after a frenetic january the hope is the shake-up arsene wenger wants maintain thing is impressive home form he is vexed by the wild contrast to their away results walcott may fancy vexing	Arsenal
2393	17/18	Arsenal	Everton	it be strange plenty has changed after a frenetic january the hope is the shake-up thing is impressive home form he is vexed by the wild contrast to their away results	Everton
2394	17/18	Bournemouth	Stoke City	a brilliant victory pushed bournemouth a brilliant victory pushed bournemouth into the top half of the premier league results be crucial them guaranteeing their top-flight status who could hand new recruit bournemouth have lost just once christmas is one howe is one you have put my job is take	Bournemouth
2395	17/18	Bournemouth	Stoke City	results be crucial them guaranteeing their top-flight status who could hand new recruit christmas is one you have put my job is take	Stoke City
2396	17/18	Brighton	West Ham United	brighton claimed victory only brighton claimed victory brighton claimed victory at home their position is beginning look the visit looks like a good opportunity to end their six-match winless run record signing is ready he has begun training leonardo ulloa should get some minutes on returning to his old home brighton are approaching the stage they need a hero where they need a hero the argentinian be that man	Brighton
2397	17/18	Brighton	West Ham United	their position is beginning look the visit looks like a good opportunity to end their six-match winless run record signing is ready he has begun training leonardo ulloa should get some minutes on returning to his old home they need a hero where they need a hero the argentinian be that man	West Ham United
2398	17/18	Burnley	Manchester City	burnley are seventh dyche ' s side gone league matches dyche ' s side gone league matches without a win dyche ' s side gone league matches even dyche ' s side gone league matches now dyche ' s side pushed buck who beat them who beat them in the fa cup the runaway leaders can expect a tough game the runaway leaders should have attacking	Burnley
2399	17/18	Burnley	Manchester City	who beat them who beat them in the fa cup the runaway leaders can expect a tough game the runaway leaders should have attacking	Manchester City
2400	17/18	Leicester City	Swansea City	that threatens overshadowed who reported for training at leicester he missed on a move to manchester city he will play no part he will play no part here unsettling that whole episode been for leicester , who are unbeaten at home since mid-december , who are unbeaten unsettling that whole episode remains seen who is a major doubt	Leicester City
2401	17/18	Leicester City	Swansea City	that threatens overshadowed he missed on a move to manchester city he will play no part he will play no part here who are unbeaten unsettling that whole episode remains seen swansea are unlikely who is a major doubt carvalhal ' s side will travel with confidence after back-to-back wins over liverpool and arsenal	Swansea City
2402	17/18	West Brom	Southampton	west brom will start on the back foot the club revealed investigating they are investigating senior players over an incident at their warm-weather training camp in spain they are investigating senior players revenge be sweet alan pardew be focused on earning a quarter-final spot that could spark his side into life for a tilt at premier league survival that could spark his side into life that could spark his side that could spark his side for a tilt at premier league survival	West Brom
2403	17/18	West Brom	Southampton	the club revealed investigating they are investigating senior players over an incident at their warm-weather training camp in spain they are investigating senior players southampton ' s victory could serve as excellent motivation southampton ' s victory could serve however as excellent motivation southampton ' s victory could serve however revenge be sweet alan pardew be focused on earning a quarter-final spot that could spark his side into life for a tilt at premier league survival that could spark his side into life that could spark his side that could spark his side for a tilt at premier league survival	Southampton
2404	17/18	Crystal Palace	Newcastle United	roy hodgson be satisfied the possibility may cheer the spaniard hodgson lost bakary sako now hodgson lost bakary sako to a broken ankle , a sixth long-term absentee hodgson lost bakary sako until into next season hodgson lost bakary sako hodgson may have turn he have liked to his three young new signings sunderland came to south london sunderland came a year ago to south london sunderland came a year ago sunderland won 4	Crystal Palace
2405	17/18	Crystal Palace	Newcastle United	rafael benitez be satisfied the possibility may cheer the spaniard he have liked to his three young new signings sunderland came to south london sunderland came a year ago to south london sunderland came a year ago sunderland won 4 newcastle will hope repeat	Newcastle United
2406	17/18	Liverpool	Tottenham Hotspur	tottenham will arrive on a high following defeat of manchester united plus a comprehensive victory over liverpool at wembley in october tottenham will arrive on a high following defeat of manchester united plus a comprehensive victory over liverpool at wembley klopp ' s side have lost in 16 league games klopp ' s side have lost since that 4-1 reverse klopp ' s side have lost however klopp ' s side have lost only once klopp ' s side have lost since that 4-1 reverse however only once in 16 league games klopp ' s side scoring goals klopp ' s side scoring goals in that period klopp ' s side arrested a recent dip at huddersfield klopp ' s side arrested a recent dip points separate the teams it be a significant step they repeat the heights	Liverpool
2407	17/18	Liverpool	Tottenham Hotspur	tottenham will arrive in october tottenham will arrive on a high following defeat of manchester united plus a comprehensive victory over liverpool at wembley in october tottenham will arrive on a high following defeat of manchester united plus a comprehensive victory over liverpool at wembley points separate the teams it be a significant step they repeat the heights	Tottenham Hotspur
2408	17/18	Watford	Chelsea	things looked so good watford secured the services watford secured the services ahead of a host of other suitors things have unravelled both in west london and hertfordshire silva gone silva replaced by javi gracia and spurs are breathing side could use a return	Watford
2409	17/18	Watford	Chelsea	things looked so good antonio conte was basking in leading chelsea to the title in his first season antonio conte was basking to the title in his first season antonio conte was basking in leading chelsea things have unravelled both in west london and hertfordshire silva gone conte talking his way conte talking his way seemingly conte talking his way to the exit door at stamford bridge spurs are breathing side could use a return	Chelsea
2410	17/18	Everton	Crystal Palace	apologies are required all round from everton they attempt put sam allardyce owes one sam allardyce owes one to hodgson sam allardyce contacted his england predecessor personally sam allardyce contacted his england predecessor sam allardyce contacted his england predecessor in the 17 months sam allardyce contacted his england predecessor since being caught mocking his speech everton ' s players need atone latest everton ' s players need atone everton ' s players need latest goodison park be short everton fail capitalise	Everton
2411	17/18	Everton	Crystal Palace	they attempt put sam allardyce owes one to hodgson palace are missing senior players palace are missing senior players through injury	Crystal Palace
2412	17/18	Manchester City	Leicester City	pep guardiola stated pleasure pep guardiola stated pleasure at the display pep guardiola stated pleasure in last saturday ' s draw at burnley a born-winner will want return manchester city return to victorious ways the champions league resumes especially things have changed how the latter tore city in the same fixture the latter tore city the latter tore city during the foxes ' title-winning season the latter tore city apart the latter tore city two years ago the algerian is available	Manchester City
2413	17/18	Manchester City	Leicester City	a born-winner will want return the champions league resumes especially things have changed how things have changed for leicester city and riyad mahrez things have changed how for leicester city and riyad mahrez the latter tore city during the foxes ' title-winning season the algerian is available	Leicester City
2414	17/18	Stoke City	Brighton	week ' s defeat burst the bubble week ' s defeat burst the bubble since paul lambert ' s arrival week ' s defeat saw drop stoke drop back into the bottom three stoke drop into the bottom three stoke drop back one be hoping reel saturday be a good place	Stoke City
2415	17/18	Stoke City	Brighton	week ' s defeat burst the bubble week ' s defeat saw drop brighton are places hughton ' s side are hoping one be hoping reel saturday be a good place	Brighton
2416	17/18	Swansea City	Burnley	revival been hugely impressive revival seen glean them glean points them glean points from six matches which were against spurs , liverpool and arsenal side won in a premier league game since december side won since december side won in a premier league game they remain awkward opponents only the two manchester clubs have conceded fewer goals remain carvalhal could give to debuts	Swansea City
2417	17/18	Swansea City	Burnley	revival been hugely impressive revival seen glean them glean points them glean points from six matches burnley will pose a different kind to their last three home fixtures in the league , which were against spurs , liverpool and arsenal burnley will pose a different kind which were against spurs , liverpool and arsenal side won in a premier league game since december side won since december side won in a premier league game they remain awkward opponents only the two manchester clubs have conceded fewer goals remain stephen ward is fit again	Burnley
2418	17/18	Tottenham Hotspur	Arsenal	harry kane is at the top of the bill this is a fascinating clash it has the trappings tottenham have come tottenham feel at home tottenham feel at home at wembley tottenham feel at wembley	Tottenham Hotspur
2419	17/18	Tottenham Hotspur	Arsenal	this is a fascinating clash it has the trappings arsenal have won on each of their previous nine visits to the national stadium wenger ' s side need find	Arsenal
2420	17/18	West Ham United	Watford	javi gracia is settling after replacing marco silva and watford visit a west ham side who are three points above the bottom three after last weekend ' s defeat at brighton javi gracia is settling nicely after replacing marco silva and watford visit a west ham side who are three points above the bottom three after last weekend ' s defeat at brighton marco silva visit a west ham side watford visit a west ham side who are three points above the bottom david moyes needs his players show least the arrival might help in that regard	West Ham United
2421	17/18	West Ham United	Watford	watford be full javi gracia is settling after replacing marco silva and watford visit a west ham side who are three points above the bottom three after last weekend ' s defeat at brighton javi gracia is settling nicely javi gracia is settling nicely after replacing marco silva and watford visit a west ham side who are three points above the bottom three after last weekend ' s defeat at brighton who are three points above the bottom least the arrival might help in that regard	Watford
2422	17/18	Huddersfield	Bournemouth	huddersfield ' s victory has given rise huddersfield ' s victory hope stimulate the result will stimulate a confidence boost that could yield their first league victory that could yield their first league victory since before christmas they find more creativity also they find more creativity they are nearing the time every match be described when every match be described when as a must-win every match be described as a must-win who seemed be moods can improve how quickly moods representing inspiration thus moods representing inspiration	Huddersfield
2423	17/18	Huddersfield	Bournemouth	the result will stimulate a confidence boost that could yield their first league victory that could yield their first league victory since before christmas they find more creativity also they find more creativity they are nearing the time every match be described when every match be described when as a must-win every match be described as a must-win who seemed be bournemouth have shown improve moods can improve how quickly moods representing inspiration thus moods representing inspiration	Bournemouth
2424	17/18	Newcastle United	Manchester United	islam slimani permitting islam slimani hopes makes rafael benitez put an old foe slimani be capable benitez ' s team avoid relegation mourinho win a premier league game at st james ' park mo diame continue impress it is little over two decades newcastle were vying for the premier league title	Newcastle United
2425	17/18	Newcastle United	Manchester United	islam slimani permitting islam slimani hopes makes the algeria striker help jose mourinho put leicester loanee help jose mourinho put slimani be capable mourinho win a premier league game at st james ' park mourinho win a premier league game mourinho win a premier league game for the first time mo diame continue impress it is little over two decades manchester united were vying for the premier league title	Manchester United
2426	17/18	Southampton	Liverpool	they should move their scouting department perhaps they should move their scouting department in reference to the number of players they have signed from saints recently they should move their scouting department into the area they should move their scouting department they have signed from saints they have signed recently they have signed from saints recently virgil van dijk became last virgil van dijk became the sixth last virgil van dijk became the sixth 75 is dutchman 75 is assured of a rough reception from the home crowd for the manner of his departure virgil van dijk may find a place southampton won a six-pointer southampton are likely five are away from home	Southampton
2427	17/18	Southampton	Liverpool	jurgen klopp joking move they should move their scouting department perhaps they should move their scouting department into the area they should move their scouting department they have signed recently 75 is dutchman 75 is assured of a rough reception from the home crowd for the manner of his departure adam lallana sent in midweek adam lallana sent for the under-23s adam lallana sent in midweek for the under-23s five are away from home	Liverpool
2428	17/18	Chelsea	West Brom	the visit cheer the champions normally the visit cheer the champions they are the team coach ' s job is when on the line coach ' s job is when coach ' s job is on the line roberto di matteo might attest andre villas-boas might attest antonio conte has seen beaten his side beaten by three goal margins in their last two fixtures with a top four finish under threat his side beaten by three goal margins his side beaten in their last two fixtures his side beaten with a top four finish under threat pardew ' s visitors have a more appealing run after monday pardew ' s visitors have a more appealing run their own comeback must start somewhere	Chelsea
2429	17/18	Chelsea	West Brom	the visit cheer the champions normally the visit cheer the champions west brom pose a particular threat west brom pose a particular threat at chelsea they are the team coach ' s job is when on the line coach ' s job is when coach ' s job is on the line roberto di matteo might attest andre villas-boas might attest his side beaten by three goal margins in their last two fixtures with a top four finish under threat his side beaten by three goal margins his side beaten in their last two fixtures his side beaten with a top four finish under threat pardew ' s visitors have a more appealing run after monday pardew ' s visitors have a more appealing run their own comeback must start somewhere	West Brom
2430	17/18	Bournemouth	Newcastle United	both teams ought revitalised need both teams ought revitalised both teams ought need jermain defoe could make his comeback jermain defoe could make his comeback from an ankle injury jermain defoe could make his comeback most likely from the bench jermain defoe could make his comeback for the hosts he ' s trained i ' m we ' ve seen what he ' s trained he ' s pleased he ' s trained pleased eddie howe said ' s	Bournemouth
2431	17/18	Bournemouth	Newcastle United	both teams ought revitalised need both teams ought revitalised both teams ought need he ' s trained i ' m we ' ve seen what he ' s trained he ' s pleased he ' s trained pleased	Newcastle United
2432	17/18	Brighton	Swansea City	brighton enjoying a spell brighton are unbeaten chris hughton will hope pick jurgen locadia can pick from where he left off against coventry and provide the attacking threat his side have lacked at times this season he left where against coventry he left against coventry he left where he provide the attacking threat his side have lacked at times a win could bump brighton further a win could bump brighton from the relegation a win could bump brighton it be surprising the honeymoon continued at the amex stadium	Brighton
2433	17/18	Brighton	Swansea City	swansea enjoying a spell swansea are unbeaten jurgen locadia can pick from where he left off against coventry and provide the attacking threat his side have lacked at times this season he left where against coventry he left against coventry he left where he provide the attacking threat his side have lacked at times the same goes for swansea carlos carvalhal transformed his side completely carlos carvalhal transformed his side it be surprising the honeymoon continued at the amex stadium	Swansea City
2434	17/18	Burnley	Southampton	burnley were the undoubted success story burnley accumulating points burnley accumulating points from their first 19 games a brake been applied since christmas a brake been applied since christmas with four draws and four defeats a brake been applied with four draws and four defeats survival is unlikely it is a worry who come to turf moor in the bottom three and in desperate need of points who come to turf moor who come in the bottom three and in desperate need of points	Burnley
2435	17/18	Burnley	Southampton	a brake been applied since christmas a brake been applied since christmas with four draws and four defeats a brake been applied with four draws and four defeats survival is unlikely it is a worry who come in the bottom three and in desperate need of points	Southampton
2436	17/18	Leicester City	Stoke City	leicester have lost some momentum leicester have lost some momentum following a disappointing run that has been overshadowed by riyad mahrez ' s antics that been overshadowed by riyad mahrez ' s antics mahrez is set make he is considering handing	Leicester City
2437	17/18	Leicester City	Stoke City	who be without the injured peter crouch stoke are second stoke won for four months stoke won away stoke won away for four months paul lambert has vowed go the stoke manager said considering he is considering handing	Stoke City
2438	17/18	Liverpool	West Ham United	david moyes won in 14 visits to anfield as manager his prospects appear forwards mohamed salah has scored goals in his last 16 league appearances and in each of liverpool mohamed salah has scored goals past five games mohamed salah has scored goals daniel sturridge was the last liverpool daniel sturridge score back in february 2014 daniel sturridge score in six successive outings daniel sturridge score in six successive outings back in february 2014 roberto firmino is enjoying his most prolific season brought last outing brought a hat-trick	Liverpool
2439	17/18	Liverpool	West Ham United	david moyes won in 14 visits to anfield as manager david moyes losing seven david moyes drawing seven his prospects appear forwards last outing brought a hat-trick	West Ham United
2440	17/18	Watford	Everton	they finished with victory over watford the position may prove move javi gracia be keen abdoulaye doucoure can dominate midfield he does been watford been when at their best watford been when watford been at their best important points are achievable	Watford
2441	17/18	Watford	Everton	everton can move into seventh the position may prove move allardyce ' s side have won just once on the road abdoulaye doucoure can dominate midfield he does been important points are achievable	Everton
2442	17/18	Crystal Palace	Tottenham Hotspur	crystal palace could find themselves back crystal palace could find themselves on sunday crystal palace could find themselves in the bottom three crystal palace could find themselves with the side ' s resources now severely hampered by injuries to 12 senior players crystal palace could find themselves at kick-off crystal palace could find themselves roy hodgson needed the last thing was find his team have won their past five meetings the hosts will have perform that record is end	Crystal Palace
2443	17/18	Crystal Palace	Tottenham Hotspur	the last thing was find mauricio pochettino will sense this mauricio pochettino will sense this as an opportunity to take advantage of manchester united and chelsea ' s match above them his team have won their past five meetings the hosts will have perform that record is end	Tottenham Hotspur
2444	17/18	Manchester United	Chelsea	jose mourinho has guided manchester united to only one win against a direct rival this season jose mourinho has guided manchester united this has change united fans will hope instructs their manager instructs his men take this occurs united fans remains seen united fans be safety	Manchester United
2445	17/18	Manchester United	Chelsea	this has change their manager instructs his men take this occurs	Chelsea
2446	17/18	Burnley	Everton	burnley were the victors side remain in the table side remain despite not winning so far this year set of three points away are with set of three points away are in great shape set of three points away are with in great shape either set of three points away are either both sides might settle for a draw	Burnley
2447	17/18	Burnley	Everton	side remain in the table side remain above everton side remain despite not winning so far this year side remain above everton in the table despite not winning so far this year set of three points away are with set of three points away are in great shape set of three points away are with in great shape either set of three points away are either both sides might settle for a draw	Everton
2448	17/18	Leicester City	Bournemouth	it is a measure tight things are in the mid-to-lower reaches of the premier league who are clear bournemouth will move to within a point of eighth-placed leicester bournemouth will move within a point of eighth-placed leicester they win at the king power stadium leicester have had a little wobble leicester picking points from a possible 12 leicester picking points puel ' s side be boosted by the return of shinji okazaki , who is available again after being sidelined with a knee injury who is available	Leicester City
2449	17/18	Leicester City	Bournemouth	it is a measure tight things are in the mid-to-lower reaches of the premier league who are clear bournemouth will move to within a point of eighth-placed leicester bournemouth will move to bournemouth will move within a point of eighth-placed leicester who is available	Bournemouth
2450	17/18	Liverpool	Newcastle United	rafael benitez lost in five meetings against liverpool it will require something preserve liverpool have scored more goals in roberto firmino and mohamed salah liverpool have scored more goals liverpool won more home games than any other team in the premier league era - 89 and 17 liverpool won more home games respectively liverpool won more home games liverpool have two salah is bidding score firmino has 15 in his last 18 starts firmino has 15	Liverpool
2451	17/18	Liverpool	Newcastle United	rafael benitez lost in five meetings against liverpool as the manager of valencia , chelsea and newcastle rafael benitez lost in five meetings against liverpool rafael benitez lost as the manager of valencia , chelsea and newcastle it will require something preserve	Newcastle United
2452	17/18	Southampton	Stoke City	this fixture have much riding this fixture have much riding normally this fixture come southampton are sliding into relegation trouble paul lambert has tightened saints victories slip away they have won five they drawn a league-high 12 games shane long face late fitness tests steven davis face late fitness tests	Southampton
2453	17/18	Southampton	Stoke City	this fixture have much riding this fixture have much riding normally this fixture come stoke are sliding into relegation trouble paul lambert has tightened a porous defence paul lambert has tightened saints paul lambert have a bad habit victories slip away they have won five they drawn a league-high 12 games peter crouch are available ryan shawcross are available	Stoke City
2454	17/18	Swansea City	West Ham United	carvalhal ' s side will move out of the relegation zone they can rack a seventh successive home victory andre ayew looks set the ghanaian marks the occasion with a goal the ghanaian marks the occasion javier hernandez could return after coming off the bench against liverpool javier hernandez starting lineup	Swansea City
2455	17/18	Swansea City	West Ham United	that feels like must-win for swansea and must-not-lose for west ham they can rack a seventh successive home victory andre ayew looks set the ghanaian marks the occasion with a goal the ghanaian marks the occasion javier hernandez could return to the west ham javier hernandez could return after coming off the bench against liverpool javier hernandez could return to the west ham after coming off the bench against liverpool javier hernandez starting lineup	West Ham United
2456	17/18	Watford	West Brom	their plight deepening further deulofeu ' s broken foot provides some hope the spaniard had hit the ground the spaniard running the spaniard provided relief gracia be too concerned gracia winning once gracia winning once in 14 attempts gracia winning in 14 attempts	Watford
2457	17/18	Watford	West Brom	west brom are frozen after a run of four successive league defeats and victory at watford west brom are frozen at the bottom of the table after a run of four successive league defeats and victory at watford west brom are frozen at the bottom of the table west brom is imperative their plight deepening further deulofeu ' s broken foot provides some hope the spaniard had hit the ground the spaniard running the spaniard provided relief west brom are terrible	West Brom
