	HomeTeam	AwayTeam	HomeGoals	AwayGoals	Date	Season	Commentary	Result	sentiment
1220	Watford	Everton	1	0	24/02/2018	18	Everton can move up into seventh, the position they finished last season, with victory over Watford but that may prove difficult as Sam Allardyce’s side have won just once on the road this season. Javi Gracia will be keen to capitalise on their poor away form and record his second win as manager. If Abdoulaye Doucouré can dominate midfield, as he always does when Watford have been at their best, then three important points are achievable. Graham Searles	1	0.33449151118596393,-0.936576783657074
1221	Crystal Palace	Tottenham Hotspur	0	1	25/02/2018	18	Crystal Palace could find themselves back in the bottom three at kick-off on Sunday with the side’s resources now severely hampered by injuries to 12 senior players, so the last thing Roy Hodgson needed was a visit from Tottenham Hotspur. Mauricio Pochettino will sense this as an opportunity to take advantage of Manchester United and Chelsea’s match above them, and Arsenal’s distraction in the League Cup final. His team have won their past five meetings with Palace. The hosts will have to perform out of their skins if that record is to end. Dominic Fifield	-1	-0.32903385162353516,0.9978633522987366
1222	Manchester United	Chelsea	2	1	25/02/2018	18	José Mourinho has guided Manchester United to only one win against a direct rival this season – the 3-1 victory at Arsenal in early December. On Sunday this has to change against a Chelsea team only three points behind his side. United fans will hope their manager instructs his men to take the contest to Antonio Conte’s but whether this occurs remains to be seen as Mourinho’s default position can often be safety-first. Jamie Jackson	1	-0.21669711669286093,-0.9824967980384827
1223	Burnley	Everton	2	1	03/03/2018	18	Burnley were the victors at Goodison in October toward the end of Ronald Koeman’s reign, and Sean Dyche’s side remain above Everton in the table despite not winning so far this year. With only one set of three points away from home all season, at Newcastle, Everton under Sam Allardyce are not in great shape either and both sides might settle for a draw. Paul Wilson	1	0.9988393187522888,-0.9992232322692871
1224	Leicester City	Bournemouth	1	1	03/03/2018	18	It is a measure of how tight things are in the mid-to-lower reaches of the Premier League that Bournemouth, who are still not clear of relegation trouble, will move to within a point of eighth-placed Leicester if they win at the King Power Stadium. Leicester have had a little wobble of late, picking up only two points from a possible 12, but Claude Puel’s side should be boosted by the return of Shinji Okazaki, who is available again after being sidelined with a knee injury. Stuart James	0	0.9974330067634583,0.9857574701309204
1225	Liverpool	Newcastle United	2	0	03/03/2018	18	Rafael Benítez has never lost in five meetings against Liverpool as the manager of Valencia, Chelsea and Newcastle but it will require something special to preserve that record. Liverpool have scored more goals and won more home games against Newcastle than any other team in the Premier League era – 89 and 17 respectively – and, in Roberto Firmino and Mohamed Salah, have two forwards in outstanding form. Salah is bidding to score in a seventh successive game, a feat last achieved at Liverpool by Daniel Sturridge in 2014, while Firmino has 15 in his last 18 starts. Andy Hunter	1	0.986195981502533,0
1226	Southampton	Stoke City	0	0	03/03/2018	18	This fixture does not normally have much riding on it come March but this season Southampton and Stoke are sliding into relegation trouble. Paul Lambert has tightened up a porous defence and Saints have a bad habit of letting victories slip away – they have won five and drawn a league-high 12 games this season. Steven Davis and Shane Long face late fitness tests for Southampton, while Ryan Shawcross and Peter Crouch are available for Stoke. Niall McVeigh	0	-0.9811872839927673,0
1227	Swansea City	West Ham United	4	1	03/03/2018	18	A game that feels like must-win for Swansea and must-not-lose for West Ham. Carlos Carvalhal’s side will move out of the relegation zone and level on points with David Moyes’s team if they can rack up a seventh successive home victory in all competitions. Andre Ayew looks set to make his first start for Swansea since re-signing from West Ham in January and what chance the Ghanaian marks the occasion with a goal? Javier Hernández could return to the West Ham starting lineup after coming off the bench against Liverpool. Stuart James	1	0.9595860689878464,0
1228	Watford	West Brom	1	0	03/03/2018	18	West Brom are frozen at the bottom of the table after a run of four successive league defeats and victory at Watford is imperative to avoid their plight deepening further. Gerard Deulofeu’s broken foot provides some hope as the Spaniard had hit the ground running and provided relief from Javi Gracia’s long injury list. However Gracia should not be too concerned as West Brom are terrible away from home – winning once in 14 attempts this season. Graham Searles	1	0.9952247440814972,-0.9902781844139099
1229	Brighton	Arsenal	2	1	04/03/2018	18	Arsène Wenger has been well and truly humbled after back-to-back thrashings at the hands of Manchester City. Arsenal now, if they didn’t quite before, look completely broken and Brighton will be rubbing their hands with glee, not just for warmth, at the very realistic prospect of an important win in terms of their survival. Glenn Murray has four goals in his past five appearances in all competitions and should be able to brush off Arsenal’s atypical defence with ease if given the chance. Graham Searles	1	0,0.9992420474688212
1230	Crystal Palace	Manchester United	2	3	05/03/2018	18	Crystal Palace have not beaten Manchester United in the top flight since confirming a third place finish 27 years ago and are expecting to be back in the bottom three at kick-off as Roy Hodgson sifts through his ranks of walking wounded to construct a team. United have lost their past two away games in the league but will attempt to capitalise on the encouraging home win against Chelsea. Paul Pogba scored here last season. Maybe the venue will spark an upturn in his fortunes.. Dominic Fifield	-1	0,0
1231	Chelsea	Crystal Palace	2	1	10/03/2018	18	The ailing champions have long been spying this match as potential relief in amid games with Barcelona and the two Manchester clubs, but they have lost to Crystal Palace at Stamford Bridge in each of the last two seasons. This match may come too soon for Wilfried Zaha to start for Palace but he has been the scourge of Chelsea in recent times. The hosts, with four defeats in their past five league games and Wednesday’s trip to Camp Nou looming large, will hope to have the job done before Zaha can be summoned from the bench. Dominic Fifield	1	-0.8367778658866882,0.004936397075653076
1232	Everton	Brighton	2	0	10/03/2018	18	Sam Allardyce struck a more conciliatory tone before a game he described as arguably the biggest of his brief Everton reign, conscious that bridge-building is needed with supporters who made their feelings clear towards him at Burnley. Goodison Park may well be hostile – “We are absolutely aware of that,” Allardyce said – but there is also need for unity, however temporary, with Stoke away, Manchester City and Liverpool on the horizon. Brighton have the capacity to increase Allardyce’s problems. Chris Hughton’s side are unbeaten in seven games and are above their big-spending opponents in the table. Andy Hunter	1	0.9842598140239716,0.9972136616706848
1233	West Brom	Leicester City	1	4	10/03/2018	18	West Brom’s time in the Premier League appears to be running out with Alan Pardew’s side eight points from safety with nine games to play. A run of five successive defeats speaks for itself but they have performed miracles to stay in the league before. Leicester, though, will be confident they can easily add another to that tally, with the superior attacking qualities of Riyad Mahrez and Jamie Vardy, while snapping their winless run of five matches. Graham Searles	-1	-0.9942640662193298,0.9991995692253113
1234	West Ham United	Burnley	0	3	10/03/2018	18	It had gone a little unnoticed that before the win over Everton last Saturday Burnley had gone 11 Premier League games and almost three months without a win. If Sean Dyche’s side can also triumph at West Ham on Saturday they can move to within two points of sixth-placed Arsenal. Joe Hart, meanwhile, has been thrown a World Cup lifeline by David Moyes. The goalkeeper’s England spot for this summer’s tournament in Russia has been in jeopardy since he lost his place at West Ham in December following some inconsistent performances. But Moyes said: “Joe Hart will start.” Paul Chronnell	-1	-0.0004419088363647461,0.32318975528081256
1235	Arsenal	Watford	3	0	11/03/2018	18	Arsenal showed ‘cojones’ in the Europa League win at Milan on Thursday – something the Watford captain, Troy Deeney, accused them of lacking at Vicarage Road in October. Arsène Wenger’s players might want to prove a point to him but, really, the oomph has been knocked from their Premier League season. It is now the Europa League or bust. Watford have won three out of their past four matches. As ever, the mood at the Emirates will be a sub-plot. David Hytner	1	-0.9414270122845968,0.4942687551180522
1236	Bournemouth	Tottenham Hotspur	1	4	11/03/2018	18	Bournemouth become the first team to take on a wounded Tottenham who are nevertheless undefeated in 11 league games and desperate to take another step towards qualifying for the Champions League for the third season in a row. “The competition doesn’t wait for you,” said the manager, Mauricio Pochettino, reflecting on their calamitous midweek loss to Juventus. “If you’re happy or sad, the team has to move on and think about the weekend.” Bournemouth have been doing little else since their draw at Leicester last time out, with Jermain Defoe, scorer of 91 league goals for Spurs, likely to be on the bench again. “Since Christmas we have been very strong and have beaten some big teams here,” said the manager Eddie Howe, who would probably be delighted with a point this time. Mark Tallentire	-1	0.011872544884681702,0.954736590385437
1237	Stoke City	Manchester City	0	2	12/03/2018	18	Stoke, under Mark Hughes, were humiliated 7-2 by Manchester City back in October with six different Citizens finding the net. However while Pep Guardiola’s side are the heavy favourites to win again – a repeated destruction is unlikely. Paul Lambert has brought back Stoke’s once-lauded defensive stability. They have conceded four in six games with the Scot in charge compared to 50 in the 23 preceding games this season, which provides hope in more important fixtures to come. Graham Searles	-1	0.3826000491778056,-0.992016077041626
1238	Bournemouth	West Brom	2	1	17/03/2018	18	West Brom’s time in the Premier League appears to be reaching an inevitable conclusion after another defeat, against Leicester, last week. A seventh in succession feels likely for Alan Pardew’s side, despite Gareth Barry and Jonny Evans returning, and a win for Bournemouth would give them one of the three required to confirm a fourth season in the top flight. Is there a risk of complacency for Bournemouth? “Absolutely no chance,” said Eddie Howe. Graham Searles	1	-0.9970613121986389,-0.9989827275276184
1239	Liverpool	Watford	5	0	17/03/2018	18	Liverpool will be eager to return to winning ways against Watford and open up a seven-point gap over Chelsea in fifth place. Jürgen Klopp’s side were undone by mistakes at Old Trafford last week and the manager could make changes as he searches for a more sturdy defensive combination that could help guide Liverpool past Manchester City in the Champions League quarter-finals in April. Graham Searles	1	-0.03955814242362976,0.9978845715522766
1240	Stoke City	Everton	1	2	17/03/2018	18	Sam Allardyce takes Everton to struggling Stoke, whom they beat 1-0 on the opening day with a debut goal from Wayne Rooney when both teams were under different management, with five successive defeats on their recent travels, his last point coming when the team were outplayed in a 0-0 by West Brom. “We’ve been using some more work into the mind in the analysis room. Who we are, what we want to achieve, what we can get,” Allardyce said. Stoke, who lost their free-hit to Manchester City 2-0 on Monday, see this as a match they can and must get three points from and with games running out, will be confident they have the wherewithal to further bamboozle Everton. Mark Tallentire	-1	0.9988052845001221,0.9974937736988068
1241	Brighton	Leicester City	0	2	31/03/2018	18	Both sides can, to all intents and purposes, just go out and play although Leicester could conceivably wonder whether a kind-looking run of games can heave them into faint contention for sixth place. Chris Hughton does not quite see Brighton’s position that way and hopes their next two games against Huddersfield and Crystal Palace banish any lingering relegation concerns. The omens look good: they have won their past four home matches in all competitions and pack a far greater punch in attack than earlier in the season. Nick Ames	-1	-0.9975107908248901,-0.9852883219718933
1242	Crystal Palace	Liverpool	1	2	31/03/2018	18	Liverpool can move 10 points clear of fifth-placed Chelsea with a win at Selhurst Park, but will be wary that the ailing champions have two games in hand and are still to host them this season. That should spur Jürgen Klopp’s side on, even with this a nuisance of a game before the more anticipated contests against Manchester City and Everton to come. Palace, with their ranks of wounded still too numerous for comfort, will hope Christian Benteke and Mamadou Sakho have points to prove against their former club. Dominic Fifield	-1	0.9954766631126404,0.04658907651901245
1243	Everton	Manchester City	1	3	31/03/2018	18	Everton are the only current Premier League team Pep Guardiola has not beaten as the Manchester City manager and there cannot be greater incentive to complete the set than the prize on the horizon that would follow a victory at Goodison Park. Three points will offer City the priceless opportunity of winning the Premier League title at home to Manchester United next weekend. It is an opportunity not to be wasted, although Wednesday’s Champions League quarter-final at Liverpool may influence Guardiola’s selection. Sam Allardyce’s side are unbeaten at home since New Year’s Day. Andy Hunter	-1	0.030941307544708252,0.9987422227859497
1244	Manchester United	Swansea City	2	0	31/03/2018	18	Manchester United’s race – for second place and respectability – resumes with the visit of Swansea managed by Carlos Carvalhal, who has inspired his side to build a three-point gap above the relegation zone. Next up for United is Manchester City when Pep Guardiola’s side could claim the title at the Etihad. To have any chance of avoiding that prospect Swansea must be beaten, so José Mourinho will not be short of motivation. Jamie Jackson	1	0.9938525557518005,0.9205461144447327
1245	Watford	Bournemouth	2	2	31/03/2018	18	Watford may have just about recovered from being ripped apart by Mohamed Salah before the international break. Javi Gracia will demand a response against Bournemouth, after conceding eight and failing to score in their past two matches on the road, but equally should have confidence in his side’s ability to bounce back based on their strong home record this season. Richarlison’s lack of form is a concern though. The Brazilian scored his first goal for Watford against Eddie Howe’s side in August but has failed to find the net since November. Graham Searles	0	-0.9979547460873922,0.9357661008834839
1246	West Brom	Burnley	1	2	31/03/2018	18	Burnley are one of only three sides to lose to West Brom in the league this season, a 1-0 win in August giving the visitors an improbable six points from six at that stage. Much has changed since and Burnley have a club-record 43 Premier League points while West Brom are 10 adrift of safety and all but relegated. “I kind of feel I owe this club,” said Alan Pardew, who has only one league win to his name since arriving at the Hawthorns in late November. “The results since I’ve been here should have been better and I’d like to come back next season with a squad that better reflects the way I play, with a bit more attacking prowess.” Burnley have won their last two games – Everton and West Ham – and with only 14 away goals conceded will be disappointed if they do not make it three in a row. Mark Tallentire	-1	-0.0025501251220703125,0.47434787452220917
1247	West Ham United	Southampton	3	0	31/03/2018	18	West Ham will be praying there is no repeat of the scenes that marred their 3-0 defeat against Burnley at the London Stadium three weeks ago. They have not played since then and extra security measures will be in place for the visit of Southampton, who will push 17th-placed West Ham into the bottom three if they win. Mark Hughes has said he wants to use the crowd against the home team. Jacob Steinberg	1	-0.9971717000007629,-0.9694508910179138
1248	Bournemouth	Crystal Palace	2	2	07/04/2018	18	Crystal Palace need to move on from their unlucky defeat against Liverpool last time out despite the mental struggle of winning only once in their past nine matches. Roy Hodgson’s side may have received a blessing in disguise though through Christian Benteke’s lack of fitness. The Belgian striker has scored only two goals this season. Someone else having a chance to be the focal point of Palace’s attack could be the difference between survival and relegation. Bournemouth look safe but Eddie Howe remains focused on not letting up until his side’s Premier League status is confirmed. Graham Searles	0	0.9712252020835876,-0.9914953708648682
1249	Everton	Liverpool	0	0	07/04/2018	18	Sam Allardyce has blamed a small minority on Twitter and Instagram for the negative reaction towards his reign as Everton manager but dissent may be widespread and within ear-shot at Goodison Park should his team repeat their feeble effort against Manchester City in the 231st Merseyside derby. Everton are enduring the worst run in their history against Liverpool – 16 derbies without a win – and while confidence and form is soaring on the other side of Stanley Park Jürgen Klopp must ring the changes before next week’s Champions League rematch at the Etihad Stadium. Andy Hunter	0	-0.8775849938392639,0
1250	Leicester City	Newcastle United	1	2	07/04/2018	18	Newcastle will arrive in confident mood after climbing to 12th in the table on the back of a fine run of form that has seen them lose only twice in the league since the turn of the year. With 35 points on the board, another victory would all but secure their Premier League status. Leicester remain hopeful of finishing the season in seventh, although Claude Puel will have to rejig his midfield after losing Matty James to injury and Wilfred Ndidi to suspension. Stuart James	-1	0.9778966307640076,0.9996157884597778
1251	Manchester City	Manchester United	2	3	07/04/2018	18	The timing of the 176th derby could not be better as Manchester City have a priceless chance to claim a fifth league title against their fiercest rivals at home. If City pull this off then their players will become legends and those in the Manchester United side will be constantly reminded of their unwanted part in Mancunian history. It should be some match at the Etihad Stadium. Jamie Jackson	-1	0.3280566930770874,0
1252	Stoke City	Tottenham Hotspur	1	2	07/04/2018	18	Stoke have six matches in which to save themselves from relegation and the portents are inauspicious. Paul Lambert has had a host of problems to address before the visit of Tottenham, including Saido Berahino’s time-keeping, Ibrahim Afellay’s attitude and an interview in which Xherdan Shaqiri was quoted bemoaning the lack of quality at Stoke. That is hardly the ideal preparation for Spurs, who have beaten Stoke by four goals in their past four meetings. Lambert has introduced a little more solidity since replacing Mark Hughes but they still do not look capable of a clean sheet. Paul Doyle	-1	-0.9976879159609476,-0.9997273087501526
1253	Watford	Burnley	1	2	07/04/2018	18	Burnley are flying in seventh and catching sixth-placed Arsenal, who are more focused on Europa League activities, is still a realistic proposition. Ashley Barnes’ contribution of four goals in four has been a huge part of their recent success and that could well continue because Watford have conceded 10 goals in their past three matches. Javi Gracia will be looking for his side to build on their improved showing last week against Bournemouth with a win that would equal their points tally last season. Graham Searles	-1	0.9989326596260071,0.9994682669639587
1254	West Brom	Swansea City	1	1	07/04/2018	18	Swansea will be feeling much better about visiting the Hawthorns than their trip to Old Trafford last week. Carlos Carvalhal’s mission to save the club can get back on track against West Brom who are now 11 points adrift with six games to play. However who knows what change Alan Pardew’s exit could bring. The relief for the players of a manager’s tactics that were failing absolutely could be enough to inspire an unlikely victory despite survival hopes approaching the academic stage. Graham Searles	0	-0.9520667493343353,-0.9953919649124146
1255	Arsenal	Southampton	3	2	08/04/2018	18	Arsenal, as usual, have begun performing since pressure has been relieved from their league campaign. Helpfully their 4-1 demolition of CSKA Moscow on Thursday also makes the trip to Russia next week much more appealing than it might have been. Arsène Wenger’s side should be in relaxed mood and able to fire on all cylinders. Southampton’s chances of securing a much-needed win look bleak after failing to score in their past three league matches. Graham Searles	1	0.9895586768786112,-0.9997389912605286
1256	Chelsea	West Ham United	1	1	08/04/2018	18	Stamford Bridge will bid an emotional farewell to Ray Wilkins before a derby which will test both teams’ resolve. Chelsea suffered a fourth home defeat of the campaign last weekend, rendering their pursuit of the top four forlorn, and they may have surrendered their title by kick-off. These are difficult times for Antonio Conte. West Ham were buoyed by that restorative thrashing of Southampton, but are hardly clear of the relegation scrap just yet as they pursue a first win across the capital since September 2002. Dominic Fifield	0	-0.39375845591227215,0.8655412793159485
1257	Burnley	Leicester City	2	1	14/04/2018	18	Sean Dyche was briefly linked with the Leicester job when it became vacant early in the season, mainly because of his Midlands connections, and Saturday’s visitors to Turf Moor might consider that a chance missed now that Burnley are likely to end up in Europe. Six points currently separates the two sides, a gap that could easily increase as Burnley enjoy the luxury of good home form and a stress-free run-in. Paul Wilson	1	0.0009798407554626465,0
1258	Crystal Palace	Brighton	3	2	14/04/2018	18	Roy Hodgson has a choice to make up front with Christian Benteke and Alexander Sørlorth fit enough to feature, albeit after Andros Townsend and Wilfried Zaha impressed at Bournemouth. This team’s greatest shortcoming this season has been up front where analysis by Gracenote Sports, taking into account the quality and frequency of chances created, suggests they should have plundered 52 goals, rather than their measly 33. Benteke’s projected goal tally was 12. He has two. Brighton, relatively solid all season, will seek to blunt their bitter rivals and hope their hosts depart pining for Glenn Murray. Dominic Fifield	1	0.32991013924280804,0.9914818108081818
1259	Liverpool	Bournemouth	3	0	14/04/2018	18	The Champions League semi-final dominates Liverpool’s thoughts but Jürgen Klopp wants a top-four finish in the Premier League secured as quickly as possible. Mohamed Salah requires one more league goal to reach 30 for the season, and has scored 11 times in his last six matches at Anfield, but his game-time may be restricted against Bournemouth after he returned from a groin problem to play a starring role in the midweek European defeat of Manchester City. Liverpool need three more goals to record 300 in all competitions under Klopp. Andy Hunter	1	-0.310766339302063,0.9976814985275269
1260	Southampton	Chelsea	2	3	14/04/2018	18	In the corresponding fixture last season, Diego Costa sealed a hard-fought win that showed Chelsea’s title credentials to end Southampton’s long unbeaten run at home. That was only 18 months ago. Both teams have unravelled this season and head into a league and cup double-header wondering where another defeat will leave them. Southampton’s plight is more pressing and with five tricky-looking fixtures to follow, Mark Hughes must aim for better than the narrow defeat to Arsenal. He will be without the suspended Jack Stephens but at least has in-form strikers to choose from – Charlie Austin and Shane Long both scored at the Emirates, with Long expected to recover from an ankle problem. Niall McVeigh	-1	0.30354491869608563,0.9996974468231201
1261	Swansea City	Everton	1	1	14/04/2018	18	A huge game for Swansea, who could take a significant step towards survival if they can rack up a fifth successive home win. Jordan Ayew, Swansea’s leading goalscorer, returns from suspension and will go straight back into the team, possibly at the expense of Tammy Abraham. For Everton, Wayne Rooney is expected to start, with Sam Allardyce insisting there is no problem between them after he substituted the forward last weekend, but there will be no Liberty Stadium return for Gylfi Sigurdsson, who remains injured. Stuart James	0	0.9984199106693268,-0.7975189089775085
1262	Tottenham Hotspur	Manchester City	1	3	14/04/2018	18	Pep Guardiola goes to Wembley looking to avoid a fourth successive defeat for only the second time in his managerial career – if City win and Manchester United lose on Sunday, the league title is theirs. With a top four place almost secured, Tottenham should provide a stiff test having won the corresponding fixture 2-0 last January. Ed Aarons	-1	-0.9068859815597534,-0.875271737575531
1263	Manchester United	West Brom	0	1	15/04/2018	18	All Manchester United can do is keep winning while praying Manchester City perform a flop of Devon Loch proportions. They should have no problems cuffing aside West Brom, but if Pep Guardiola’s men have already won at Tottenham on Saturday it will be close to immaterial. Still, second place is definitely on for José Mourinho’s men and that would represent a four-place leap from last season. Jamie Jackson	-1	0.008734256029129028,0.5094658136367798
1264	Newcastle United	Arsenal	2	1	15/04/2018	18	The long journey back from Moscow means Arsène Wenger is likely to rest many of his first-choice players for the trip north to Newcastle. Rafa Benítez’s side are aiming to record a fourth successive victory but have failed to pick up a single point against Arsenal since a 0-0 draw in 2011 – a run of 10 matches. Ed Aarons	1	0,-0.33448203404744464
1265	West Ham United	Stoke City	1	1	16/04/2018	18	West Ham have responded well after last month’s chaotic defeat against Burnley at the London Stadium, thrashing Southampton and drawing at Chelsea to move three points above the bottom three. They are not out of the woods yet, though. One more win might be enough, but Stoke are also desperate for points and it is bound to be a tense battle on Monday night. Jacob Steinberg	0	0.998455286026001,-0.9099047780036926
1266	Watford	Crystal Palace	0	0	21/04/2018	18	Watford are in danger of being drawn into the relegation battle if they record a fifth defeat from six against Crystal Palace. Roy Hodson’s side will draw level with them, and take a huge step towards safety, if they do. Hodgson should be confident after Palace flourished in attack to beat Brighton last week. Four Watford players may miss out with a stomach virus too. Javi Gracia has not named two of the ill players which suggests he is not feeling confident about his side’s chances. Graham Searles	0	-0.4971490949392319,0.9992282390594482
1267	West Brom	Liverpool	2	2	21/04/2018	18	Can West Brom cause another upset? With Jürgen Klopp surely focused on Roma at Anfield on Tuesday and Champions League football next season all but secured, it is a possibility. However it does feel like rather a large stretch of the imagination for the bumbling Baggies to best Liverpool despite needing to win to maintain their already incredibly slender hopes of staying up. Mohamed Salah alone has scored more league goals this season than Darren Moore’s side. Graham Searles	0	0.009280800819396973,0.9987138509750366
1268	Arsenal	West Ham United	4	1	22/04/2018	18	Arsène Wenger’s farewell to Arsenal begins against West Ham. A first opportunity for the fans to show just how much he has meant to the club over the past 22 years before the pressure of hosting Atlético Madrid on Thursday. What influence, if any, could the news of Wenger’s departure have on his side? The Emirates faithful will be hoping to be transported back to the glory days but West Ham are not safe yet. Survival instincts may prevail on Sunday. Graham Searles	1	0.007891133427619934,0
1269	Manchester City	Swansea City	5	0	22/04/2018	18	Manchester City will stride out before their adoring crowd as freshly-crowned champions knowing five wins from the final five matches will take them to 102 points and eclipse Chelsea’s record Premier League tally of 95. Pep Guardiola, though, will look to see how his charges react to their new status so, while Swansea will expect a long afternoon, as they are fighting relegation, Carlos Carvalhal’s side may not be a walkover. Jamie Jackson	1	0.9996007084846497,0.9913520812988281
1270	Stoke City	Burnley	1	1	22/04/2018	18	Stoke have left it very late to start a surge for safety, and if it does not begin against Burnley, it will probably not materialise at all. Scoring has been a problem for Stoke all season so they will have taken some encouragement from the fact that Burnley looked uncharacteristically leaky while losing 2-1 to Chelsea on Thursday. Then again, Stoke are no Chelsea. Paul Doyle	0	-0.9941365122795105,0
1271	Everton	Newcastle United	1	0	23/04/2018	18	Rafael Benítez’s in-form Newcastle can leapfrog Everton with a fifth consecutive league victory. The onus will be on Jonjo Shelvey to show the watching Gareth Southgate that he is worth considering, and trusting, for a late inclusion in England’s World Cup squad. For Sam Allardyce, the visit of his former club brings reminders of an unhappy spell at St James’ Park and a massive pay-off. With Evertonians calling for something similar at Swansea last weekend, albeit in harsher terms, he could do with another home win to keep the restless supporters at bay. Andy Hunter	1	-0.9376749396324158,0.9952477018038431
1272	Burnley	Brighton	0	0	28/04/2018	18	Burnley’s dream of playing in the Europa League is still alive despite the fact they have fallen short in consecutive Premier League games. Sean Dyche’s side have suffered just one defeat from their past eight games, and will prove to be a difficult task for a Brighton side who have struggled away from home this season. Chris Hughton’s men are winless since their back-to-back successes against Swansea and Arsenal in early March. Joel Aberg	0	0.9989737272262573,-0.2963294784228007
1273	Crystal Palace	Leicester City	5	0	28/04/2018	18	Victory against Leicester City would hoist Crystal Palace to 38 points and the verge of top-flight safety. Claude Puel’s side will arrive at Selhurst Park having won only twice in 10 league games stretching back to January, without Kasper Schmeichel, and with the manager’s job beyond this season in doubt. Yet Roy Hodgson is still preaching caution in a bid to ward off any complacency. Palace, much improved, have lost only once to a side outside the top eight since September and must determine whether the time is apt to recall Christian Benteke. Dominic Fifield	1	-0.9499605496724447,0.9542468786239624
1274	Huddersfield	Everton	0	2	28/04/2018	18	Everton, following their win against in-form Newcastle, travel to Huddersfield and are eyeing a second successive win. David Wagner’s side, six points above the relegation zone, have taken 25 from a maximum 35 points at home this season, in comparison to Everton’s 12 from 45 on the road. Gylfi Sigurdsson is back in light training, but the Everton manager, Sam Allardyce, said the Iceland international is still “a way off” making a first-team return anytime soon. Joel Aberg	-1	0.9894492328166962,0.03718927502632141
1275	Liverpool	Stoke City	0	0	28/04/2018	18	Paul Lambert has overseen three wins at Liverpool in his managerial career, the most recent with Wolves in the FA Cup last season, but now must accomplish what no other Stoke manager in history has done to bring hope to the club’s relegation fight. Stoke have never won a top flight league game at Anfield and Jürgen Klopp’s side are unbeaten at home in the Premier League this season. The Liverpool manager must rotate before next week’s second leg against Roma and the visitors simply have to capitalise with only three matches of their season remaining. Andy Hunter	0	-0.9994333386421204,0
1276	Newcastle United	West Brom	0	1	28/04/2018	18	Darren Moore has presided over the collection of five points from three games since assuming caretaker charge of West Brom but he could still see his side’s long inevitable relegation confirmed on Saturday night. Meanwhile Rafa Benítez has announced that talks over his future on Tyneside are under way. Newcastle’s manager has only a year left on his contract and will want assurances as to the summer transfer budget before extending it. “We’ve had conversations and we’ll have more conversations next week,” said Benítez before stressing that a quick resolution would be “better for everybody”. Louise Taylor	-1	-0.42990758021672565,-0.9820367693901062
1277	Southampton	Bournemouth	2	1	28/04/2018	18	Southampton’s situation remains dire but there is still a potential escape route open to Mark Hughes’s side. With matches against Everton and relegation rivals Swansea following this, they have the chance to make up ground before the final-day visit of Manchester City. Hughes will be without playmaker Sofiane Boufal – he is training with the youth team after falling out with the manager. Eddie Howe will still be unable to call upon Adam Smith, who is close to a return, as his visiting side look to assert their south-coast supremacy. Niall McVeigh	1	-0.019695013761520386,-0.8538520336151123
1278	Swansea City	Chelsea	0	1	28/04/2018	18	There is plenty at stake for both clubs as Chelsea pursue the three points that would keep alive hopes of a top-four finish while Swansea chase the victory that would give their survival prospects a huge boost. Swansea have collected 13 points from their past five home games, beating Liverpool and Arsenal in the process, but they have injury problems at the back, with Federico Fernández and Kyle Bartley doubtful. Chelsea, who are looking for a third successive away win in the league, are still without the suspended Marcos Alonso. Stuart James	-1	-0.992961585521698,0.9845298528671265
1279	Manchester United	Arsenal	2	1	29/04/2018	18	Relations between José Mourinho and Arsène Wenger have eased recently yet how Manchester United fans might greet the Arsenal manager, for so long their bete noire, as he walks out at Old Trafford will intrigue, given the Frenchman is leaving the Gunners. On the pitch United will hope to claim another win in the bid for second place: Arsenal, of course, want to prevent that. Jamie Jackson	1	0.989624559879303,0
1280	West Ham United	Manchester City	1	4	29/04/2018	18	Another victory will move Manchester City one win away from setting a new points record in the Premier League. The champions look determined to keep standards high and they scored nine goals in two visits to the London Stadium last season. They will fancy their chances against West Ham, who are still not safe from relegation after last weekend’s thrashing at Arsenal. David Moyes’s team will require a perfect defensive performance to stand any chance of denying City. Jacob Steinberg	-1	0.9987683892250061,0.3482212821642558
1281	Tottenham Hotspur	Watford	2	0	30/04/2018	18	Tottenham, devastated by their FA Cup semi-final defeat against Manchester United last week, must bounce back to maintain their advantage over Chelsea chasing in fifth place, who on Monday may be two points behind Spurs, by taking all three against out-out-form Watford. Javi Gracia’s side, winless since the beginning of March, are struggling with injuries. Troy Deeney and Roberto Pereyra are both major doubts for the trip to Wembley. Joel Aberg	1	0.9878950119018555,-0.3066599766413371
1282	Bournemouth	Swansea City	1	0	05/05/2018	18	Swansea are in trouble. Carlos Carvalhal’s side are just a point above the relegation zone and crucially their momentum disappeared. Bournemouth should have a chance at turning their own abject streak around as Swansea have scored just two goals and are winless in their past seven games in all competitions. Carvalhal will be counting on fear of the dreaded drop to provide all the motivation his side need to keep their heads above water. Graham Searles	1	0.9978845715522766,-0.9951764345169067
